CMDLINE /usr/bin/python3 MemoryLeakTests.py
MEM 0.003906 1687043066.1936
MEM 17.050781 1687043066.2941
MEM 85.027344 1687043066.3948
MEM 142.132812 1687043066.4954
MEM 176.105469 1687043066.5958
MEM 187.117188 1687043066.6964
MEM 187.503906 1687043066.7969
MEM 198.980469 1687043066.8975
MEM 212.175781 1687043066.9981
MEM 223.250000 1687043067.0987
MEM 232.937500 1687043067.1993
MEM 241.050781 1687043067.2998
MEM 249.648438 1687043067.4004
MEM 254.230469 1687043067.5010
MEM 264.851562 1687043067.6016
MEM 273.808594 1687043067.7022
MEM 289.285156 1687043067.8028
MEM 300.453125 1687043067.9032
MEM 302.171875 1687043068.0038
MEM 310.750000 1687043068.1044
MEM 317.476562 1687043068.2050
MEM 326.683594 1687043068.3056
MEM 328.886719 1687043068.4062
MEM 331.085938 1687043068.5068
MEM 334.796875 1687043068.6074
MEM 346.648438 1687043068.7080
MEM 361.707031 1687043068.8086
MEM 368.785156 1687043068.9092
MEM 376.957031 1687043069.0098
MEM 382.289062 1687043069.1103
MEM 385.449219 1687043069.2109
MEM 386.750000 1687043069.3115
MEM 390.304688 1687043069.4121
MEM 412.496094 1687043069.5127
MEM 437.777344 1687043069.6134
MEM 541.695312 1687043069.7142
MEM 621.808594 1687043069.8149
MEM 699.953125 1687043069.9155
MEM 787.246094 1687043070.0162
MEM 895.464844 1687043070.1169
MEM 905.144531 1687043070.2176
MEM 983.554688 1687043070.3182
MEM 1030.019531 1687043070.4189
MEM 1035.144531 1687043070.5195
MEM 1036.125000 1687043070.6201
MEM 1041.347656 1687043070.7207
MEM 1064.097656 1687043070.8214
MEM 1086.523438 1687043070.9220
MEM 1262.613281 1687043071.0227
MEM 1465.550781 1687043071.1234
MEM 1108.808594 1687043071.2240
MEM 1108.941406 1687043071.3250
MEM 1109.046875 1687043071.4255
MEM 1109.398438 1687043071.5260
MEM 1129.574219 1687043071.6266
MEM 1129.574219 1687043071.7273
MEM 1129.648438 1687043071.8280
MEM 1129.648438 1687043071.9287
MEM 1068.332031 1687043072.0294
MEM 1068.082031 1687043072.1301
MEM 0.000000 1687043072.2307
