CMDLINE /usr/bin/python3 MemoryLeakTests.py
MEM 0.003906 1687043317.0840
MEM 15.640625 1687043317.1846
MEM 71.316406 1687043317.2852
MEM 115.753906 1687043317.3858
MEM 169.312500 1687043317.4863
MEM 176.167969 1687043317.5867
MEM 180.714844 1687043317.6873
MEM 185.535156 1687043317.7879
MEM 187.722656 1687043317.8885
MEM 189.656250 1687043317.9890
MEM 191.781250 1687043318.0896
MEM 196.414062 1687043318.1902
MEM 199.449219 1687043318.2908
MEM 202.296875 1687043318.3914
MEM 206.964844 1687043318.4920
MEM 212.601562 1687043318.5926
MEM 216.339844 1687043318.6932
MEM 221.906250 1687043318.7938
MEM 223.949219 1687043318.8944
MEM 226.046875 1687043318.9950
MEM 229.058594 1687043319.0955
MEM 232.648438 1687043319.1961
MEM 234.250000 1687043319.2967
MEM 236.796875 1687043319.3972
MEM 238.316406 1687043319.4977
MEM 240.628906 1687043319.5983
MEM 242.457031 1687043319.6989
MEM 244.835938 1687043319.7994
MEM 248.996094 1687043319.9000
MEM 250.800781 1687043320.0006
MEM 253.644531 1687043320.1012
MEM 255.093750 1687043320.2018
MEM 258.132812 1687043320.3024
MEM 260.625000 1687043320.4030
MEM 265.234375 1687043320.5036
MEM 268.652344 1687043320.6041
MEM 270.371094 1687043320.7047
MEM 272.210938 1687043320.8053
MEM 274.230469 1687043320.9059
MEM 276.902344 1687043321.0065
MEM 278.703125 1687043321.1071
MEM 280.167969 1687043321.2077
MEM 287.023438 1687043321.3083
MEM 290.351562 1687043321.4088
MEM 294.894531 1687043321.5093
MEM 300.031250 1687043321.6097
MEM 300.925781 1687043321.7103
MEM 302.644531 1687043321.8109
MEM 303.867188 1687043321.9116
MEM 305.605469 1687043322.0122
MEM 308.031250 1687043322.1128
MEM 311.703125 1687043322.2137
MEM 313.523438 1687043322.3143
MEM 315.070312 1687043322.4149
MEM 315.585938 1687043322.5155
MEM 318.707031 1687043322.6160
MEM 325.453125 1687043322.7167
MEM 326.019531 1687043322.8172
MEM 326.019531 1687043322.9176
MEM 326.457031 1687043323.0182
MEM 327.117188 1687043323.1187
MEM 327.710938 1687043323.2193
MEM 329.558594 1687043323.3199
MEM 329.769531 1687043323.4205
MEM 331.457031 1687043323.5210
MEM 331.667969 1687043323.6216
MEM 333.234375 1687043323.7222
