MEM 0.003906 1687040927.4517
MEM 16.285156 1687040927.5523
MEM 85.082031 1687040927.6530
MEM 165.113281 1687040927.7536
MEM 173.695312 1687040927.8542
MEM 176.531250 1687040927.9547
MEM 183.476562 1687040928.0552
MEM 186.886719 1687040928.1558
MEM 187.382812 1687040928.2563
MEM 190.824219 1687040928.3569
MEM 195.371094 1687040928.4575
MEM 198.707031 1687040928.5581
MEM 201.460938 1687040928.6586
MEM 206.656250 1687040928.7592
MEM 212.082031 1687040928.8598
MEM 215.042969 1687040928.9604
MEM 218.640625 1687040929.0610
MEM 222.976562 1687040929.1616
MEM 224.386719 1687040929.2622
MEM 228.246094 1687040929.3628
MEM 231.890625 1687040929.4633
MEM 234.222656 1687040929.5639
MEM 236.289062 1687040929.6645
MEM 238.031250 1687040929.7651
MEM 240.375000 1687040929.8656
MEM 242.636719 1687040929.9662
MEM 246.925781 1687040930.0668
MEM 249.234375 1687040930.1674
MEM 250.730469 1687040930.2679
MEM 253.105469 1687040930.3685
MEM 256.210938 1687040930.4691
MEM 259.792969 1687040930.5697
MEM 263.332031 1687040930.6703
MEM 267.425781 1687040930.7708
MEM 268.570312 1687040930.8714
MEM 270.628906 1687040930.9720
MEM 272.332031 1687040931.0726
MEM 274.054688 1687040931.1732
MEM 277.500000 1687040931.2737
MEM 279.039062 1687040931.3742
MEM 280.269531 1687040931.4748
MEM 288.492188 1687040931.5754
MEM 291.253906 1687040931.6760
MEM 296.261719 1687040931.7764
MEM 299.539062 1687040931.8769
MEM 300.609375 1687040931.9774
MEM 302.410156 1687040932.0780
MEM 303.707031 1687040932.1786
MEM 305.933594 1687040932.2792
MEM 307.484375 1687040932.3798
MEM 311.117188 1687040932.4804
MEM 312.878906 1687040932.5814
MEM 314.222656 1687040932.6820
MEM 314.734375 1687040932.7825
MEM 317.054688 1687040932.8830
MEM 322.164062 1687040932.9836
MEM 325.445312 1687040933.0842
MEM 325.445312 1687040933.1848
MEM 325.878906 1687040933.2853
MEM 326.429688 1687040933.3858
MEM 326.933594 1687040933.4863
MEM 328.968750 1687040933.5868
MEM 329.363281 1687040933.6875
MEM 330.859375 1687040933.7880
MEM 331.039062 1687040933.8886
MEM 332.898438 1687040933.9891
MEM 336.027344 1687040934.0897
MEM 337.687500 1687040934.1903
MEM 339.890625 1687040934.2909
MEM 344.601562 1687040934.3915
MEM 348.988281 1687040934.4921
MEM 351.218750 1687040934.5927
MEM 358.082031 1687040934.6933
MEM 361.101562 1687040934.7939
MEM 363.921875 1687040934.8944
MEM 365.839844 1687040934.9950
MEM 367.968750 1687040935.0956
MEM 368.542969 1687040935.1961
MEM 369.476562 1687040935.2967
MEM 371.894531 1687040935.3972
MEM 372.929688 1687040935.4977
MEM 376.507812 1687040935.5982
MEM 376.886719 1687040935.6988
MEM 377.207031 1687040935.7993
MEM 380.214844 1687040935.8999
MEM 382.222656 1687040936.0005
MEM 385.089844 1687040936.1011
MEM 385.089844 1687040936.2017
MEM 386.550781 1687040936.3023
MEM 387.695312 1687040936.4029
MEM 389.664062 1687040936.5034
MEM 400.531250 1687040936.6040
MEM 414.425781 1687040936.7046
MEM 498.058594 1687040936.8053
MEM 558.917969 1687040936.9060
MEM 640.027344 1687040937.0066
MEM 719.136719 1687040937.1072
MEM 802.117188 1687040937.2079
MEM 905.296875 1687040937.3086
MEM 945.246094 1687040937.4092
MEM 968.566406 1687040937.5099
MEM 1021.812500 1687040937.6105
MEM 1153.355469 1687040937.7113
MEM 1313.199219 1687040937.8120
MEM 1323.539062 1687040937.9126
MEM 1324.222656 1687040938.0132
MEM 1328.332031 1687040938.1139
MEM 1347.164062 1687040938.2146
MEM 1371.164062 1687040938.3152
